Foto;Quelldatei;Aufnahmezeit;Beschnitten;Pruefsumme
F-047;MA_Raum3.HEIC;2026:09:14 12:57:55;;6496803cf94d351876ecb5962d8e5ca5
F-048;MA_Raum_4.HEIC;2026:09:14 12:58:08;;7f914d2cec0b1b32366d98c8a6620efa
F-049;Flur_.HEIC;2026:09:14 12:58:43;;495d19d451d8f50717d317cbe018d123
F-050;Flur__.HEIC;2026:09:14 12:59:29;;afc4d195548014b5ecef76d47ccb3674
F-051;Eingang.HEIC;2026:09:14 12:59:35;;eaf8477439cd69abb85376cdf458c0fa
F-052;Eingang1.HEIC;2026:09:14 12:59:49;;d3acd082d1e2cc79da1646ef4380636d
F-053;Eingang2.HEIC;2026:09:14 13:00:15;;921b6792aa817258e5a402cfc4e8d896
F-054;Flur_-.HEIC;2026:09:14 13:01:34;;b567c849ccac6cf9cdc22096a24ddbc6
F-055;WC.HEIC;2026:09:14 13:02:06;;ed977cc1d043a24df144eca4b3509c17
F-056;MA_Ruhe.HEIC;2026:09:14 13:03:27;;dbb200191f7069c38149f80558fc33df
F-057;MA_Ruhe_1.HEIC;2026:09:14 13:03:37;;e05f91d7f1f5cf143896a6687a955243
F-058;MA_Ruhe_2.HEIC;2026:09:14 13:03:42;;fb346c881b09cf8d832d9792b2270f34
F-059;MA_Ruhe_3.HEIC;2026:09:14 13:03:46;;d0485fbcca06225099ac95bd4fb9cb17
F-060;MA_Ruhe_5.HEIC;2026:09:14 13:03:52;;a578581272bf8430c3f3fc7af0a61378
F-061;MA_Ruhe_4.HEIC;2026:09:14 13:04:01;;2f6752a1ccbe51d90be9fbd9d0650c36
F-062;Dach1.HEIC;2026:09:14 13:05:34;;a76f8f78a3b0da231ec73eb83f0bf374
F-063;Dach_2.HEIC;2026:09:14 13:05:50;;96af2651483e82c1d72a69efc9acaee1
F-064;Kunst_1.HEIC;2026:09:14 13:06:35;;fa67aa3c0de0e42178b6a672a25cb869
F-065;Kunst_2.HEIC;2026:09:14 13:06:37;;ae717f0d88bcfdc9b0651e932c74a122
F-066;Kunst_3.HEIC;2026:09:14 13:06:40;;5d3d25c5eeff0b1efec2f6f227eaff3d
F-067;Kunst_4.HEIC;2026:09:14 13:06:47;;8663de613f38cb66edcd1e0fb5078843
F-068;Kunst_5.HEIC;2026:09:14 13:06:53;;e1f2e7e9e03cec77221b5a9fe9828771
F-069;Kunst_6.HEIC;2026:09:14 13:07:13;;7828aac8515960d34bf7c0df135d35ad
F-070;Kunst_7.HEIC;2026:09:14 13:07:19;;b5e43e8aa8fbe66e271be8b85c806be8
F-071;Kunst_8.HEIC;2026:09:14 13:07:38;;892806f1f3ee25d7b7299500f8778ff8
F-072;Flur_Deko.HEIC;2026:09:14 13:08:38;;5d2856d3e704782e3be4e04fc0a67048
F-073;Flur_Deko1.HEIC;2026:09:14 13:08:55;;9004bc9648f3645e93f12a86995d29f6
F-074;Flur_UG.HEIC;2026:09:14 13:09:00;;1e84232646558b164297e2d80813fcd5
F-075;Flur_UG1.HEIC;2026:09:14 13:09:16;;594764cef57688a97a88966f2b9962a5
F-076;Flur_UG2.HEIC;2026:09:14 13:09:25;;abab7b47939c7abb12b96e0629417810
F-077;Flur_UG_3.HEIC;2026:09:14 13:09:29;;1d1550f8a25bf2dc02a5fdd7dc594cb0
F-078;UG1.HEIC;2026:09:14 13:09:56;;41aa955376b24dd71ba2765aabb40941
F-079;UG2.HEIC;2026:09:14 13:10:05;;9fa895acbfa87cc6bdce47c516af4ce8
F-080;UG3.HEIC;2026:09:14 13:10:31;;f6766b4745c354018514e2c00947ccf8
F-081;UG4.HEIC;2026:09:14 13:11:04;;add8407cd6ba4847cef8ce959ce45fa9
F-082;Werkstatt1.HEIC;2026:09:14 13:11:30;;bf151f1e9b59ae07e462788ee3477306
F-083;Werkstatt2.HEIC;2026:09:14 13:13:10;;0ad22f29d335ca3775a2103a041bade8
F-084;Werkstatt_3.HEIC;2026:09:14 13:13:14;;d297a172bc2a8e3d5262d6ea4b4d3224
F-085;Werkstatt_4.HEIC;2026:09:14 13:13:15;;92bff8eb6217706414be8b212996ad22
F-086;Werkstatt_5.HEIC;2026:09:14 13:13:18;;b1b7f740fbb3091f9f5bd0010a224f90
F-087;Werkstatt6.HEIC;2026:09:14 13:13:22;;12c0658768cd5b0cb0f24e4b51c6ddb0
F-088;Werkstatt_7.HEIC;2026:09:14 13:13:25;;ea47188c8ef13eb82d4faa6da80f48dc
F-089;Werkstatt_.HEIC;2026:09:14 13:14:32;;5c7a178a29dfb94f405cce283d7a5e8f
F-090;Flur.HEIC;2026:09:14 13:15:30;;7eac89c88cf3666a37f46efc7524edf5
F-091;Flur__.HEIC;2026:09:14 13:15:41;;ae2091e4ecfa185d7efde8543368ef99
F-092;Flur.HEIC;2026:09:14 13:15:43;;e6395d0fb578f99a6d718de6cfc3443a
F-093;Flur__.HEIC;2026:09:14 13:15:52;;cde809542d205d1b2a37296dccb73819
F-094;Terrasse.HEIC;2026:09:14 13:17:02;;24a89916dd24bdfbbbfe281db80d7a30
F-095;Terrasse1.HEIC;2026:09:14 13:17:13;oben0.340;156c228963b2a9b71de94b79655e4bd7
F-096;Terrasse2.HEIC;2026:09:14 13:17:46;;fb64dba8c311e42378c17695411e6c65
F-097;Dachterrasse.HEIC;2026:09:14 13:17:52;;4def0e76e40f22e303a81c926765e39d
F-098;Dachterrasse_2.HEIC;2026:09:14 13:17:57;;30ed1c6d7f1067e98a56ca36330afecc
F-099;Dachterrasse_1.HEIC;2026:09:14 13:18:24;oben0.200;97452fc8acb0acd566575d476bf6a6ba
F-100;Au_en.HEIC;2026:09:14 13:18:47;;66756dba021d1c6248c64c538ba9a7fd
F-101;Terrasse_hinten.HEIC;2026:09:14 13:19:35;;e219ac838a2629cf0a351d210d27d5e5
F-102;terrasse_hinten_1.HEIC;2026:09:14 13:19:42;;5d13e093be752ba267aca4f7fc819af7
F-103;Terrasse_hinten2.HEIC;2026:09:14 13:19:52;;62caffab6e504d2b1fa27ee4a8ed8c0a
F-104;Dachterrasse.HEIC;2026:09:14 13:20:41;;9a1edab0f03370c47b8f54497c69c19e
F-105;Dachterrasse_.HEIC;2026:09:14 13:21:06;;52398afd5c323165b6326ef95b4b5ca3
F-106;Dachterrasse_1.HEIC;2026:09:14 13:21:15;;af11095a87e6d208130461d228377cf9
F-107;Dachterrasse_.HEIC;2026:09:14 13:21:45;;cb8764279ce34cbb6fd79588d165629c
F-108;Dachterrasse_.HEIC;2026:09:14 13:22:55;;0678d19bb77d2c48dd4d6cea23885c3f
F-109;Neubau_Eingang.HEIC;2026:09:14 13:24:08;;4fbe527ae5831ad89686eea01eb839d3
F-110;Neubau_Eingang1.HEIC;2026:09:14 13:24:16;oben0.550;64ebadb2e420a9c04c66f80fd6a5c32e
F-111;Au_en.HEIC;2026:09:14 13:25:24;;b2863191433845025ca58bf3d86bfc0d
F-112;IMG_1957.HEIC;2026:09:21 07:59:56;;d237464549b55cfac8c8cd53615f0fe4
F-113;IMG_1958.HEIC;2026:09:21 08:00:23;;7d9377247019d07cf60c5fa1cea7a29a
F-114;IMG_1960.HEIC;2026:09:21 08:00:33;maske0.325/0.090/0.418/0.319+maske0.471/0.133/0.604/0.276+maske0.343/0.300/0.443/0.452;fea86dde70a65c699e903cd0c3afb012
F-115;IMG_1961.HEIC;2026:09:21 08:03:21;;f5386084ca66a7d65cf88cc84b70cd84
F-116;IMG_1962.HEIC;2026:09:21 08:03:25;;d23ab27f49dbaf059012b504fdd27c11
F-117;IMG_1963.HEIC;2026:09:21 08:05:14;;3c0831b681ff1e54d2d5ea01979fd300
F-118;IMG_1964.HEIC;2026:09:21 08:05:19;;06b2c7e8c9ba04d2e68a598979bc9f65
F-119;IMG_1965.HEIC;2026:09:21 08:06:56;maske0.452/0.536/0.533/0.621;ab7e0bd74d3810aa901e2dd193d7a885
F-120;IMG_1966.HEIC;2026:09:21 08:07:10;;5018a1745c7829f8da16e8280868598f
F-121;IMG_1967.HEIC;2026:09:21 08:07:33;;61c595a5dd016d3f847ec70ba070822a
F-122;IMG_1968.HEIC;2026:09:21 08:07:45;;03ed466a1627fd3e8bb6894d0922237f
F-123;IMG_1969.HEIC;2026:09:21 08:09:09;;7003d91d432ceb5df830d77b88444301
F-124;IMG_1971.HEIC;2026:09:21 08:09:22;;da4ecb2f31cc077185cd2e5729190926
F-125;IMG_1972.HEIC;2026:09:21 08:10:58;;daccb097894878188d5c43841a81cb07
F-126;IMG_1973.HEIC;2026:09:21 08:11:40;;f8f3a74f2065074bec74ac6ff3a948b7
F-127;IMG_1974.HEIC;2026:09:21 08:12:16;;28de16949f636f582a5e96aa7128f719
F-128;IMG_1975.HEIC;2026:09:21 08:13:23;;3a53b4a2f7cca9fae5d1801d0cd70c09
F-129;IMG_1976.HEIC;2026:09:21 08:13:25;;e664b6a66e41ad139a7674d2b585d75a
F-130;IMG_1977.HEIC;2026:09:21 08:13:43;;4d61f49609c14bf13e583ddfe26d24d7
F-131;IMG_1978.HEIC;2026:09:21 08:16:37;;bd20f2cd920d229578bc16e7e01e8ed8
F-132;IMG_1980.HEIC;2026:09:21 08:17:12;;b50c17d82932f3ca5d665c26810e42fd
F-133;IMG_2189.HEIC;2026:09:21 15:39:04;;dd1f3f622b2bece0f42e6dfd7853ca35
F-134;NU01-12-Morum.jpg;;;bd30d7a1ba1b5ba92a7c0e991d2cb107
F-135;NU01-21-gross.jpg;;;7d2ac062c95a77ea06a1b7adf2bba6f3
F-136;NU01-22-klein.jpg;;;81a734f10965520146693d0f9342e321
F-137;IMG_1981.HEIC;2026:09:21 08:19:08;;bec006cbe29112dff5520536c31f7e33
F-138;IMG_1982.HEIC;2026:09:21 08:19:19;;a8ae5734f5ffc3d391d9b4baee7b98a7
F-139;IMG_1985.HEIC;2026:09:21 08:21:30;;d104837a57ded7a3857ee0e8dfaab89a
F-140;IMG_1983.HEIC;2026:09:21 08:19:28;;dc6f5abb189b88acb59f4e28e0f46b94
F-141;IMG_1984.HEIC;2026:09:21 08:21:25;;549b2bc9714128b17d314faa3f3644d9
F-142;IMG_1986.HEIC;2026:09:21 08:22:12;;02780905ccdcbc367a81b4b9fdb14ec0
F-143;IMG_1987.HEIC;2026:09:21 08:22:19;;f4749b366a61bc22ff20de8e83d2c00e
F-144;IMG_1988.HEIC;2026:09:21 08:23:22;;5ef45162e75997877bbb41766bd506da
F-145;IMG_1989.HEIC;2026:09:21 08:23:26;;f65228ad2652fd4b6e2a3ab5bc48e385
F-146;IMG_1990.HEIC;2026:09:21 08:24:21;;0a9395c42a59491c45f762443d6ced36
F-147;IMG_1992.HEIC;2026:09:21 08:25:51;;370605f979db0fc28f2fd67a09303c53
F-148;IMG_1993.HEIC;2026:09:21 08:26:21;;fe7786f7377f36ae605a061b046d592d
F-149;IMG_1994.HEIC;2026:09:21 08:27:15;;339e224ed7477cc04a2b3220d80ce9f7
F-150;IMG_1995.HEIC;2026:09:21 08:27:39;;dc5fbbb89576145ba79619d2113ab56c
F-151;IMG_1996.HEIC;2026:09:21 08:27:41;;1936cee4e9e38d40b816fb6f52376ef4
F-152;IMG_1998.HEIC;2026:09:21 08:28:08;;2ed6e00333535eb82dbb7520838138b4
F-153;IMG_1999.HEIC;2026:09:21 08:28:47;;deca2d3da7c35a794474aeb72fbf91a2
F-154;IMG_2001.HEIC;2026:09:21 08:29:28;;4107b9d046629ffe0676a7e61657f9e0
F-155;IMG_2002.HEIC;2026:09:21 08:29:38;;da0db438e880471c6de10d604ba11c25
F-156;IMG_2003.HEIC;2026:09:21 08:30:08;;050aefcd0512d4cd653c40187d96ebca
F-157;IMG_2004.HEIC;2026:09:21 08:31:34;;f8631cf26b86bae11c2749a1805ef822
F-158;IMG_2005.HEIC;2026:09:21 08:32:15;;9c81b525d558601605ff7afac967d199
F-159;IMG_2006.HEIC;2026:09:21 08:32:34;;c1022d8a60d1a3a14fa331bb5c51fabc
F-160;IMG_2007.HEIC;2026:09:21 08:39:03;;3b40e606c76d4504d0d23487ea82a935
F-161;IMG_2008.HEIC;2026:09:21 08:39:34;;5aa976a335be2629b6b8fb59327077c8
F-162;IMG_2009.HEIC;2026:09:21 08:39:42;;b07287e5b80afc922180ee1087fc44a6
F-163;IMG_2010.HEIC;2026:09:21 08:40:32;;aabb1dc970c6dceed44bc651b1b26dd1
F-164;IMG_2015.HEIC;2026:09:21 08:44:18;;0d16e05457ae92c828ace622d2087bab
F-165;IMG_2011.HEIC;2026:09:21 08:43:36;;0f517cc7c5242edc3aae75b6fdcf1a4d
F-166;IMG_2012.HEIC;2026:09:21 08:43:40;;71802963842ef19913e49586121b304e
F-167;IMG_2013.HEIC;2026:09:21 08:43:43;;7f8feae901ad4c2b9f67c549f6d5fe89
F-168;IMG_2014.HEIC;2026:09:21 08:44:11;;8213ecd27e171529634d29abde46ec70
F-169;IMG_2016.HEIC;2026:09:21 08:45:18;;57617ec0836f7b6b90aab1aa10f378d2
F-170;IMG_2017.HEIC;2026:09:21 08:45:26;;d641661a3211ed0f36dd7565f82ce6c2
F-171;IMG_2018.HEIC;2026:09:21 08:47:41;;4e6403c9816f5ab75ff866bdce16f1b7
F-172;IMG_2019.HEIC;2026:09:21 08:47:49;maske0.000/0.000/0.800/0.078+maske0.275/0.675/0.425/0.795;a890b06b50727aa89cfd927fa2c1e9d2
F-173;IMG_2191.HEIC;2026:09:21 15:39:14;;cebb0e215c99e0fe450e1be5f13bb107
F-174;IMG_2020.HEIC;2026:09:21 08:49:20;;74c2133e283f26e4f241c3b1ebb3b685
F-175;IMG_2022.HEIC;2026:09:21 08:53:15;;c033f89ef9d48f7e17affb5d2f68b55a
F-176;IMG_2023.HEIC;2026:09:21 08:54:49;;2db86ba065f5bbb3431b47d62518f88b
F-177;IMG_2024.HEIC;2026:09:21 08:55:35;;0fdd0c0fddd54d697ac8a2e4fd53ab8f
F-178;IMG_2025.HEIC;2026:09:21 08:55:47;;602f44769c9ad6184040f579164894c6
F-179;IMG_2026.HEIC;2026:09:21 08:56:55;;c033edbc48fc770df471e8af34116c20
F-180;IMG_2027.HEIC;2026:09:21 08:57:39;;e0d6e61c720cd99dbb1eff686a0d179d
F-181;IMG_2028.HEIC;2026:09:21 08:58:13;;edf29c3f7b3c5e4c3c6efd999ceb4576
F-182;IMG_2029.HEIC;2026:09:21 08:58:40;;71b180fd247b28b3a9f101f3dfc612f0
F-183;IMG_2030.HEIC;2026:09:21 09:00:12;;86bd2026f9ca76159fcf4bc9c908086c
F-184;IMG_2031.HEIC;2026:09:21 09:01:24;;047a490d90cc99d0769fc4bbaa46dadc
F-185;IMG_2032.HEIC;2026:09:21 09:01:28;;bf9d9c0bcf8d9249c0e101a9952d2ae5
F-186;IMG_2192.HEIC;2026:09:21 15:39:23;;51ce9b02f53280dfab6dd4a83064a5e7
F-187;IMG_2033.HEIC;2026:09:21 09:08:58;;eda85982efb268f0d46b6f5f3116bf31
F-188;IMG_2034.HEIC;2026:09:21 09:09:28;;78d464217e9e95021230f7c2d1a3c648
F-189;IMG_2035.HEIC;2026:09:21 09:09:35;;57eab48cbef7c968fa345918701a9c5c
F-190;IMG_2036.HEIC;2026:09:21 09:10:09;;98a5dc35099b0d520413e00204ab8a2a
F-191;IMG_2037.HEIC;2026:09:21 09:10:17;;85ae7a9852b7d1b78335e12ddac26ee3
F-192;IMG_2038.HEIC;2026:09:21 09:11:08;;7f28d72b61322dca0fe0db0edd6769b2
F-193;IMG_2039.HEIC;2026:09:21 09:12:04;;ed8cdbf92dc9ce2da5e5932cc6212c60
F-194;IMG_2040.HEIC;2026:09:21 09:12:48;;e8ded1408aac422084205b73d4b39a78
F-195;IMG_2041.HEIC;2026:09:21 09:13:00;;2de9c2cadbd3c52d4dcb5123fb11db62
F-196;IMG_2042.HEIC;2026:09:21 09:13:58;;7bec3102864ea06c864dac8cba291909
F-197;IMG_2043.HEIC;2026:09:21 09:14:28;;db245fcd9a76da667813355ab6306b3f
F-198;IMG_2044.HEIC;2026:09:21 09:15:06;;c0d17e56c014c12ddd1d7ead55d150c2
F-199;IMG_2045.HEIC;2026:09:21 09:15:10;;030a6e47402102722f6f04f71d5f7034
F-200;IMG_2046.HEIC;2026:09:21 09:15:54;;3be4e991305b6d0caae0e8c8995bfcc2
F-201;IMG_2047.HEIC;2026:09:21 09:17:08;;91c8af3c30e6840e0edf30662cc06e6d
F-202;IMG_2048.HEIC;2026:09:21 09:17:15;;c3870a529fa81a882ad8c73faf20270b
F-203;IMG_2049.HEIC;2026:09:21 09:18:11;maske0.130/0.185/0.250/0.215;f3dca2c978020a8112a30823bc88bd62
F-204;IMG_2050.HEIC;2026:09:21 09:18:50;;6e39e9e453c9e86a085d2f9f35c962d8
F-205;IMG_2051.HEIC;2026:09:21 09:20:31;;bdcd8be1265ccae3d91499e133dc5aff
F-206;IMG_2052.HEIC;2026:09:21 09:20:42;;fb8553bda3b6aa070bc8d2b8f9d53b73
F-207;IMG_2053.HEIC;2026:09:21 09:21:54;;8fc8259942a5b0e855dc460b53ac7e0c
F-208;IMG_2054.HEIC;2026:09:21 09:22:00;;293af019204db36ed6139b3cf42f06b5
F-209;IMG_2056.HEIC;2026:09:21 09:23:27;;a562efbf4ad3cf57ab3d27000cdb7527
F-210;IMG_2057.HEIC;2026:09:21 09:24:55;;7dcb242214e47c56cc989f6a86767026
F-211;IMG_2193.HEIC;2026:09:21 15:39:30;;3c8de3974c8ec80d6a5824fd969b16fd
F-212;IMG_2058.HEIC;2026:09:21 09:30:36;;7d8c4d6bacb95ab5bdd8a7db4732c4bb
F-213;IMG_2059.HEIC;2026:09:21 09:32:09;;9bc5eaf960221418372021d834993481
F-214;IMG_2061.HEIC;2026:09:21 09:32:41;;d9c2f82b3340493a7edf7b7e6fbd3622
F-215;IMG_2062.HEIC;2026:09:21 09:35:30;;5e6cf0356394508c75d850ea70b26e91
F-216;IMG_2063.HEIC;2026:09:21 09:36:13;;b1dfaacaade6d4a51d7370bcad4981b6
F-217;IMG_2064.HEIC;2026:09:21 09:36:37;;76d47e1ebfbbe2e44e532b618dd9fd98
F-218;IMG_2065.HEIC;2026:09:21 09:37:22;;68a5b7a8c65649a677ca2b66a870cf6a
F-219;IMG_2066.HEIC;2026:09:21 09:38:06;;a6acf20948769c99c87299f24d48073d
F-220;IMG_2068.HEIC;2026:09:21 09:39:48;;6de3e643c012173e22e673b5120f51a8
F-221;IMG_2194.HEIC;2026:09:21 15:39:34;;6d0a9cf2a27604233abb6617c52a5774
F-222;IMG_2085.HEIC;2026:09:21 10:04:40;;e2fb22b7387695a1f4329bc87b745548
F-223;IMG_2086.HEIC;2026:09:21 10:04:57;maske0.000/0.195/0.075/0.420+maske0.000/0.285/1.000/0.415;2ef606cb84d4aea0624f548b0d84c3f0
F-224;IMG_2088.HEIC;2026:09:21 10:06:23;maske0.870/0.300/1.000/0.390;037b74f244a89ba87128fcdf34e8070d
F-225;IMG_2089.HEIC;2026:09:21 10:07:33;maske0.050/0.248/1.000/0.362+maske0.050/0.368/1.000/0.505;a10545e5f17efccdd89b14b204241c64
F-226;IMG_2090.HEIC;2026:09:21 10:08:41;;02aa16cc3251374b23fd0306716eca13
F-227;IMG_2091.HEIC;2026:09:21 10:09:57;maske0.580/0.275/0.845/0.755;86c60c3a4235475f87a5ba17a2c2db7f
F-228;IMG_2092.HEIC;2026:09:21 10:10:10;;3ca293edb93129b460c0edc943b5e419
F-229;IMG_2093.HEIC;2026:09:21 10:11:08;maske0.325/0.095/0.685/0.165+maske0.515/0.670/0.765/0.735;4c3ced7fc647aebd5773bef85f914595
F-230;IMG_2094.HEIC;2026:09:21 10:12:51;;1abcc4b168f94ecf395463f5578ece0c
F-231;IMG_2196.HEIC;2026:09:21 15:39:43;;b665226c747fe2c0295abc76d99bce3c
F-232;IMG_2070.HEIC;2026:09:21 09:43:33;;9be15cc8353c694cf1718c28ae97457c
F-233;IMG_2071.HEIC;2026:09:21 09:44:31;;1813ac65466b087b6cdd40f169c6e89d
F-234;IMG_2073.HEIC;2026:09:21 09:45:02;;ced9ea3e4a984ba5c56fc49b252f8b57
F-235;IMG_2076.HEIC;2026:09:21 09:46:06;;6f1a0ad23a4e3631571e29fb5f3b000f
F-236;IMG_2077.HEIC;2026:09:21 09:46:52;;e16a34902821aea30d32d07bea1b3a9b
F-237;IMG_2078.HEIC;2026:09:21 09:47:25;;f544c36b2c2dbf3918df4afe34c83574
F-238;IMG_2079.HEIC;2026:09:21 09:48:39;;2cc6cfb22e1fb25a3fdada8c0c9c6b1f
F-239;IMG_2080.HEIC;2026:09:21 09:48:46;;4b92d3e82bf7bd4ccda1ed3fe37c4533
F-240;IMG_2081.HEIC;2026:09:21 09:49:15;;6648195da86d088daabc876f0e864098
F-241;IMG_2082.HEIC;2026:09:21 09:50:31;;b20464481c848ae4b0b545102bac28b4
F-242;IMG_2083.HEIC;2026:09:21 09:52:57;;e859ecb9cf35400a1647a81ec35b5aa2
F-243;IMG_2084.HEIC;2026:09:21 09:53:07;maske0.000/0.420/0.110/0.560;c16696a7aea49f496ed9672f1e6efabd
F-244;IMG_2195.HEIC;2026:09:21 15:39:38;;ef50f958ec0f35ff2c48a88c2ff4037b
F-245;IMG_2146.HEIC;2026:09:21 11:20:40;;cc7121a396248c2dc2ce1de33621a0f4
F-246;IMG_2147.HEIC;2026:09:21 11:40:02;;084cdff58b04f59c16d709bc8c82ac23
F-247;IMG_2148.HEIC;2026:09:21 11:41:38;;a1bb0cf8cbd198e080952d92e0913b06
F-248;IMG_2149.HEIC;2026:09:21 11:42:55;;7655b54e0cd416aa7c3acba6b2e95012
F-249;IMG_2150.HEIC;2026:09:21 11:43:11;;08c20a6ba6e6b58eaafe7414a5aa564b
F-250;IMG_2152.HEIC;2026:09:21 11:43:38;;ea414acdf142e99875b66f34be2d2e7a
F-251;IMG_2154.HEIC;2026:09:21 11:45:51;;92185d631de859e5601adcc26234bf2a
F-252;IMG_2155.HEIC;2026:09:21 11:46:29;;c7d64ca932875ed3bb523699404bd510
F-253;IMG_2156.HEIC;2026:09:21 11:47:53;;231c77d181d32c7d84ef5a4a8d2f6d52
F-254;IMG_2157.HEIC;2026:09:21 11:48:24;;e0b1377e72e6b5c57990612bf23de911
F-255;IMG_2158.HEIC;2026:09:21 11:48:48;;40c80b7385e1311eb1170b4dc60eb9ff
F-256;IMG_2198.HEIC;2026:09:21 15:40:09;;4420e2ade2845bd62cc80425358d22e6
F-257;IMG_2288.HEIC;2026:09:22 10:04:07;;77088af2ca37d45f91dd0ebbfe597a3a
F-258;IMG_2289.HEIC;2026:09:22 10:05:31;;6fbc8a8fc7a4e24eea92965ba27257d2
