ArtNr;Alt_ArtNr;Weitere_ArtNr;Raumcode;Bezeichnung;Beschreibung;Kategorie;Marke;Bündel;Raum;Menge;Einheit;Zustand;Maße;Foto;Wertklasse;Aktiv;Im_Katalog;Preis_netto;Preisbasis;Versand;Mengenhinweis;Anlagennr;Anschaffungswert_netto;Status;Kanal;Reserviert_für;Verkauft_Menge;Verkaufspreis_netto;Verkaufsdatum;Käufer;Rechnungsnr;Zahlung;Zahlart;Abholtermin;Klinik_Markierung;Bemerkung
K-010;;;NU04;Pinnwand gerahmt;Pinnwand mit Holzrahmen;Büro;;;Schlafraum 5;1;Stück;gut;;F-006;C;entfällt;ja;25,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-013;;;NU04;Kuckucksuhr klein;Schwarzwälder Kuckucksuhr, kleine Ausführung, Holz;Uhren;;;Schlafraum 5;1;Stück;gut;;F-008;A;entfällt;ja;90,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-016;;;NU04;Regal mit Aufbewahrungsboxen;IKEA Trofast, Holzrahmen mit Kunststoffboxen;Kita-Ausstattung;;;Schlafraum 5;3;Stück;gebraucht;;F-011;C;entfällt;ja;35,00;VHB;nur Abholung;3 Regale im Bild erkennbar;;;verfügbar;;;;;;;;;;;;
K-017;;;NU04;Kinderwerkbank Holz;Werkbank für Kinder mit Schraubstock und Zubehör;Kita-Ausstattung;;;Schlafraum 5;1;Stück;gebraucht;;F-011;C;entfällt;ja;60,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-018;;;NE01;Pompon-Kronleuchter rot;Metallring-Konstruktion mit roten Wollbommeln, Sonderanfertigung, Deckenleuchte;Leuchten;;;Flur;1;Stück;gut;;F-012;B;entfällt;ja;150,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-019;;;NE01;Wandbild Schwarzwald-Trachten, großformatig;Fotodruck auf Leinwand/Alu-Dibond, Trachtenportrait, großformatig - Kaufware;Kunst;;;Flur;2;Stück;gut;;F-013;B;entfällt;ja;120,00;VHB;nur Abholung;2 Bilder im Bild;;;verfügbar;;;;;;;;;;;;
K-021;;;NE01;Wanddeko Holzleiter und Treibholz;Dekoleiter grau in Tannenform, dazu Treibholzelemente;Deko;;;Flur;1;Set;gut;;F-015;C;entfällt;ja;30,00;VHB;nur Abholung;1 Set im Bild;;;verfügbar;;;;;;;;;;;;
K-022;;;NE01;Zamioculcas groß im Übertopf;Glücksfeder, große Pflanze, schwarzer Übertopf;Pflanzen;;;Flur;1;Stück;gut;;F-015;C;entfällt;ja;70,00;VHB;nur Abholung;1 Pflanze im Bild;;;verfügbar;;;;;;;;;;;;
K-025;;;NE05;Stapelstuhl rot;Kunststoff-Stapelstuhl, rot, Erwachsenengröße;Möbel;;;Speisesaal;6;Stück;gebraucht;;F-016;C;entfällt;ja;15,00;VHB;Versand möglich;ca. 6 Stück im Bild - bitte nachzählen;;;verfügbar;;;;;;;;;;;;
K-026;;;NE05;Kinderstuhl weiß;Kunststoff, weiß, Kindergröße, stapelbar;Kita-Ausstattung;;;Speisesaal;8;Stück;gebraucht;;F-016;C;entfällt;ja;12,00;VHB;Versand möglich;ca. 8 Stück im Bild - bitte nachzählen;;;verfügbar;;;;;;;;;;;;
K-027;;;NE05;Kinder-Hochstuhl;Klappbarer Hochstuhl, Holz/weiß;Kita-Ausstattung;;;Speisesaal;1;Stück;gebraucht;;F-016;C;entfällt;ja;40,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-029;;;NE05;Whiteboard Sprechblasenform;Magnetisches Whiteboard in Sprechblasenform;Büro;;;Speisesaal;1;Stück;gut;;F-017;C;entfällt;ja;35,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-030;;;NU01;Bücherschrank weiß, Landhausstil;Weiß, Sprossen-Glastüren, mehrere Fachböden;Möbel;;;Flur;1;Stück;gut;;F-018;B;entfällt;ja;180,00;VHB;nur Abholung;1 Schrank im Bild (Bücher nicht enthalten);;;verfügbar;;;;;;;;;;;;
K-032;;;NU01;Hocker rot;Passend zur Sitzgruppe, rot bezogen;Möbel;;;Flur;2;Stück;gut;;F-019;B;entfällt;ja;90,00;VHB;Versand möglich;2 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-033;;;NU01;USM Haller Regal weiß;USM Haller, weiß, 3 Ebenen, offen, verchromtes Rohrgestell mit Kugelverbindern;Designmöbel;;;Flur;2;Stück;gut;;F-020;A;entfällt;ja;850,00;VHB;nur Abholung;2 Regale im Bild;;;verfügbar;;;;;;;;;;;;
K-037;;;BE11;Ringlicht LED auf Stativ;Fotolicht, Ringleuchte mit Stativ;Technik;;;Büro;1;Stück;gut;;F-023;C;entfällt;ja;35,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-038;;;BE10;Konsolentisch schwarz mit Glasplatte;Metallrahmen schwarz, Glasablagen;Möbel;;;Büro / Besprechung;1;Stück;gut;;F-024;C;entfällt;ja;60,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-039;;;BE10;Kinderfahrzeug Kuh;Wheely-Bug-Typ, Rutschfahrzeug für Kinder, Plüsch mit Rollen;Kita-Ausstattung;;;Büro / Besprechung;1;Stück;gebraucht;;F-024;C;entfällt;ja;35,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-041;;;BE10;Kommode Holz, antik;Alte Holzkommode/Sekretär, dunkel;Möbel;;;Büro / Besprechung;1;Stück;gebraucht;;F-025;B;entfällt;ja;120,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-044;;;BE10;Schalenstuhl weiß mit Holzbeinen;Kunststoff-Sitzschale weiß, Holzbeine mit Drahtstrebe;Möbel;;;Büro / Besprechung;8;Stück;gut;;F-027;B;entfällt;ja;30,00;VHB;Versand möglich;ca. 8 Stück im Bild - bitte nachzählen;;;verfügbar;;;;;;;;;;;;
K-045;;;BE10;Bürodrehstuhl weiß;Drehstuhl auf Rollen, weiß;Büro;;;Büro / Besprechung;1;Stück;gebraucht;;F-027;C;entfällt;ja;60,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-046;;;BE10;Aktenschrank weiß;Büroschrank weiß, mit Türen;Büro;;;Büro / Besprechung;2;Stück;gut;;F-027;B;entfällt;ja;90,00;VHB;nur Abholung;2 Schränke im Bild;;;verfügbar;;;;;;;;;;;;
K-048;;;NE01;Wanddeko Fadenbild rot;Fadenbild/Mandala auf rundem Holzreif, rot;Deko;;;Flur;1;Stück;gut;;F-029;C;entfällt;ja;30,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-063;;;BE01;Pompon-Kranz rot;Türkranz aus roten Wollbommeln, Eigenarbeit;Deko;;;Flur 1;1;Stück;gut;;F-052;C;entfällt;ja;25,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-067;;;NE01;Laterne schwarz;Metall-Glas-Laterne, schwarz;Deko;;;Flur;1;Stück;gut;;F-072;C;entfällt;ja;20,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-069;;;NE01;Deko-Ring schwarz auf Sockel;Skulpturaler Ring, schwarz, auf Standfuß;Deko;;;Flur;1;Stück;gut;;F-073;C;entfällt;ja;30,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-070;;;NU01;Bodenvase Keramik beige, groß;Bodenvase, beige/creme, matt, groß;Deko;;;Flur;1;Stück;gut;;F-090;C;entfällt;ja;90,00;VHB;nur Abholung;1 Stück im Bild (ohne Treibholz);;;verfügbar;;;;;;;;;;;;
K-071;;;NU01;Bodenvase Keramik beige, klein;Bodenvase, beige/creme, matt, kleiner;Deko;;;Flur;1;Stück;gut;;F-090;C;entfällt;ja;60,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-073;;;NU01;Konsolentisch schwarz, schmal;Schmaler Metall-Konsolentisch, schwarz;Möbel;;;Flur;1;Stück;gut;;F-092;C;entfällt;ja;70,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-074;;;NU01;Gemälde abstrakt schwarz-weiß;Acryl auf Leinwand, Querformat - Eigenarbeit einer Privatperson;Kunst;;;Flur;1;Stück;gut;;F-092;B;entfällt;ja;150,00;VHB;nur Abholung;1 Bild im Bild;;;verfügbar;;;;;;;;;;;;
K-076;;;NU01;Tretmülleimer 30 l;Brabantia, schwarz, 30 Liter;Sonstiges;;;Flur;1;Stück;gut;;F-075;C;entfällt;ja;60,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-081;;;BA09;Clivie im Topf;Klivie, Zimmerpflanze;Pflanzen;;;Personal;1;Stück;gut;;F-045;C;entfällt;ja;30,00;VHB;nur Abholung;1 Pflanze im Bild;;;verfügbar;;;;;;;;;;;;
K-088;;;BA10;Bogenlampe Chrom;Bogenleuchte, Chromgestell, weißer Kunststoffschirm;Leuchten;;;Ruhe- / Schlafraum;1;Stück;gut;;F-059;B;entfällt;ja;130,00;VHB;nur Abholung;1 Leuchte im Bild;;;verfügbar;;;;;;;;;;;;
K-095;;;BA10;Käfigleuchte mit Holzsockel;Kleine Tischleuchte, Drahtkäfig auf Holzfuß;Leuchten;;;Ruhe- / Schlafraum;1;Stück;gut;;F-061;C;entfällt;ja;30,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-098;;;BA04;Sessel Birke mit Bezug;IKEA Poäng, Birke, heller Bezug;Möbel;;;Gruppenraum 4;1;Stück;gebraucht;;F-063;C;entfällt;ja;45,00;VHB;nur Abholung;1 Sessel im Bild;;;verfügbar;;;;;;;;;;;;
K-104;;;NU01;Deko-Pilze Beton auf Holzfuß;Dekopilze, Betonkopf auf Holzstiel, zwei Größen;Deko;;;Flur;2;Stück;gut;;F-074;C;entfällt;ja;15,00;VHB;Versand möglich;2 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-105;;;NU01;Leuchtkasten mit Steckbuchstaben;Lightbox A4 mit Buchstabensatz;Deko;;;Flur;1;Stück;gut;;F-074;C;entfällt;ja;25,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-109;;;BU04;Vase Keramik gestreift;Vase schwarz-weiß gestreift, hoch;Deko;;;Gruppenraum;1;Stück;gut;;F-078;C;entfällt;ja;20,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-111;;;BU04;Holz-LKW Spielzeug;Großer Spielzeug-LKW aus Holz, Kipper;Kita-Ausstattung;;;Gruppenraum;1;Stück;gut;;F-078;C;entfällt;ja;25,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-112;;;BU04;Deko-Haus Metall mit Pompons;Hausform aus Metalldraht mit roten Wollbommeln;Deko;;;Gruppenraum;1;Stück;gut;;F-078;C;entfällt;ja;20,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-114;;;BU04;Schülerstuhl grau;Kunststoffschale grau, Metallgestell, höhenverstellbar;Kita-Ausstattung;;;Gruppenraum;1;Stück;gebraucht;;F-079;C;entfällt;ja;25,00;VHB;Versand möglich;1 Stuhl im Bild - vermutlich mehrere vorhanden;;;verfügbar;;;;;;;;;;;;
K-122;;;TE02;Biohort Freizeitbox weiß (Dachterrasse);Metall-Auflagenbox, weiß, abschließbar, wetterfest, Made in Austria;Garten;;;Dachterrasse;1;Stück;gut;;F-108;A;entfällt;ja;220,00;VHB;nur Abholung;1 Box im Bild - bitte prüfen ob 2 oder 3 Boxen gesamt;;;verfügbar;;;;;;;;;;;;
K-124;;;TE01;Schutzhülle für Gartentisch;Abdeckhaube schwarz, wetterfest;Garten;;;Terrasse;1;Stück;gebraucht;;F-095;C;entfällt;ja;20,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-126;;;TE01;Auflagenbox Rattanoptik;Kunststoff-Auflagenbox in Rattanoptik, braun;Garten;;;Terrasse;1;Stück;gebraucht;;F-096;C;entfällt;ja;60,00;VHB;nur Abholung;1 Box im Bild;;;verfügbar;;;;;;;;;;;;
K-129;;;GA01;Gardena Schlauchbox;Wandschlauchbox mit automatischem Aufroller;Garten;;;Gartenanlage;1;Stück;gut;;F-100;C;entfällt;ja;60,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-131;;;TE02;Stapelstuhl anthrazit, Designform;Kunststoff-Schalenstuhl mit Armlehnen, anthrazit, stapelbar;Garten;;;Dachterrasse;4;Stück;gut;;F-101;B;entfällt;ja;35,00;VHB;nur Abholung;4 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-134;;;TE02;Loungesessel Kunststoff weiß;Stapelbarer Loungesessel aus Kunststoff, weiß;Garten;;;Dachterrasse;2;Stück;gebraucht;;F-104;C;entfällt;ja;60,00;VHB;nur Abholung;2 Stück gestapelt im Bild;;;verfügbar;;;;;;;;;;;;
K-135;;;TE02;Rattansessel schwarz-weiß;Polyrattan-Sessel, schwarz-weiß gestreift;Garten;;;Dachterrasse;1;Stück;gebraucht;;F-104;C;entfällt;ja;70,00;VHB;nur Abholung;1 Sessel im Bild;;;verfügbar;;;;;;;;;;;;
K-136;;;TE02;Kinder-Gartenstuhl rot;Kunststoff-Gartenstuhl in Kindergröße, rot;Garten;;;Dachterrasse;3;Stück;gebraucht;;F-104;C;entfällt;ja;15,00;VHB;Versand möglich;ca. 3 Stück im Bild - bitte nachzählen;;;verfügbar;;;;;;;;;;;;
K-137;;;TE02;Teak-Klappstuhl;Gartenklappstuhl aus Hartholz/Teak;Garten;;;Dachterrasse;6;Stück;gebraucht;;F-105;A;entfällt;ja;55,00;VHB;nur Abholung;ca. 6 Stück im Bild - bitte nachzählen;;;verfügbar;;;;;;;;;;;;
